1ID,CIL ID,Document Name,Requirements Section,Requriements Text,Submittal PMT,In Compliance with Contract Documents,Reference Document,DCN,Comments,Static of LIVE - Req. Change,Static of LIVE - Appor. To,LIVE - Req. Change,LIVE - Appor. To,CIL Order
1989,IF 1203,30 CP4 IF-REG,"2.2.1.5.3 Interface between O&M MoI DRN Maintainability & Ease of Maintenance Requirements and GWY Infrastructure
","Purpose/Scope:
Ensures that the O&M MoI DRN maintainability & ease of maintenance requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Overhead (HST Underpass)
RDW Underpass (HST Overpass)",Verified,"ST-K5161-POS,
ST-K5162-POS,
ST-K5163-POS","ST-K5161-POS affected by DCN 121 Rev 04
ST-K5162-POS affected by DCN 121 Rev 04",, , , , ,1989
1997,IF 5611,30 CP4 IF-REG,3.3.2.1.1 Interface between SYS TCS Interlocking & TCC House Site Location Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS TCS interlocking & TCC house site location (where to install, not size) requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench",N/A,N/A,,No TCS Interlocking and TCC House Site on this structure, , , , ,1997
1998,IF 794,30 CP4 IF-REG,3.3.2.1.2 Interface between SYS TCS Interlocking & TCC House Spatial Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS TCS interlocking & TCC house site spatial requirements (site, not location) have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench",N/A,N/A,,No TCS Interlocking and TCC House Site on this structure, , , , ,1998
2000,IF 3304,30 CP4 IF-REG,3.3.2.2.1 Interface between SYS TCS Wayside/Field Equipment Spatial Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS TCS wayside/field equipment (not trackside) spatial requirements have been addressed by the INF team.F45","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",N/A,N/A,,No TCS Interlocking and TCC House Site on this structure, , , , ,2001
2001,IF 5627,30 CP4 IF-REG,3.3.2.2.2 Interface between SYS TCS Wayside/Field Equipment Foundation Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS TCS wayside/field equipment foundation requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",N/A,N/A,,No TCS Interlocking and TCC House Site on this structure, , , , ,2002
2003,IF 876,30 CP4 IF-REG,"3.3.2.3.1 Interface between SYS TCS Conduit, Duct Bank, Cable Trough & Manhole Requirements and GWY Infrastructure","Purpose/Scope:
Ensures that the SYS TCS conduit, duct bank, cable trough & manhole requirements have been addressed by the INF team, including but not limited to:
- Track circuits & cases
- Signals
- Transponder & LEU
- Cross bonding
- Signal power supply
- Signal power distribution
- ...","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)
Specification",Verified,"ST-K3001-POS
ST-K4201-POS","ST-K3001-POS affected by DCN 121 Rev 04
ST-K4201-POS affected by DCN 121 Rev 04",, , , , ,2004
2007,IF 2611,30 CP4 IF-REG,3.3.2.5.1 Interface between SYS TCS System Utility Spatial Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS TCS system utility spatial requirements have been addressed by the INF team, including but not limited to:
- Electrical utility (e.g. PG&E)
- Gas/fuel
- Water
- Sewer
- Communications","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench",N/A,N/A,,"No TCS equipment 
on the Structure
", , , , ,2008
2011,IF 5871,30 CP4 IF-REG,3.4.1.1.1 Interface between O&M MoI COM Equipment Shelter & Radio Tower Site Access Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the O&M MoI COM equipment shelter & radio tower site access requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench",N/A,,,"No Communication/radio tower
equipment on the Structure
", , , , ,2012
2014,IF 5653,30 CP4 IF-REG,3.4.2.1.1 Interface between SYS COM Equipment Shelter & Radio Tower Site Location Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS COM equipment shelter & radio tower site location (where to install, not size) requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench",N/A,,,"No Communication/radio tower
equipment on the Structure
","RFI 0080:
Standalone radio site S-SRS-WOO location is located at Sta 14961+50","RFI 0080:
S-SRS-WOO","RFI 0080:
Standalone radio site S-SRS-WOO location is located at Sta 14961+50","RFI 0080:
S-SRS-WOO",2015
2015,IF 904,30 CP4 IF-REG,3.4.2.1.2 Interface between SYS COM Equipment Shelter & Radio Tower Spatial Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS COM equipment shelter & radio tower site spatial requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench",N/A,,,"No Communication/radio tower
equipment on the Structure
", , , , ,2016
2017,IF 600,30 CP4 IF-REG,3.4.2.2.1 Interface between SYS COM Wayside/Field Equipment Spatial Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS COM wayside/field equipment spatial requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",N/A,,,"No Communication/radio tower
equipment on the Structure
", , , , ,2020
2018,IF 5725,30 CP4 IF-REG,3.4.2.2.2 Interface between SYS COM Wayside/Field Equipment Foundation Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS COM wayside/field equipment foundation requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",N/A,N/A,,Moved to N/A Category by HSR Authority as per discussions in Interface Meeting., , , , ,2021
2020,IF 877,30 CP4 IF-REG,"3.4.2.3.1 Interface between SYS COM Conduit, Duct Bank, Cable Trough & Manhole Requirements and GWY Infrastructure","Purpose/Scope:
Ensures that the SYS COM conduit, duct bank, cable trough & manhole requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)
Specification",Verified,"ST-K3001-POS
ST-K4201-POS
","ST-K3001-POS affected by DCN 121 Rev 04
ST-K4201-POS affected by DCN 121 Rev 04",, , , , ,2023
2022,IF 657,30 CP4 IF-REG,"3.4.2.4.1 Interface between SYS COM Air Gap Requirements and GWY Infrastructure
","Purpose/Scope:
Ensures that the SYS COM air gap requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",N/A,,,Moved to N/A Category as per discussions with Authority in Interface Meeting., , , , ,2025
2028,IF 4252,30 CP4 IF-REG,"3.5.1.1.1 Interface between SYS Conduit, Duct Bank, Cable Trough & Manhole Requirements G&B Requirements and GWY Infrastructure","Purpose/Scope:
Ensures that the SYS conduit, duct bank, cable trough & manhole grounding & bonding requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)
Specification",Verified,"ST-K5181-POS
ST-K5182-POS",ST-K5182-POS affected by DCN 121 Rev 04,,"DL0011:
Contractor is provided the following clarifications to Design Criteria Manual Section 22.12:
If transverse metallic sleeves or casings are bare (uncoated), buried with direct contact with earth, and has a ground resistance of 25 ohms or less, they do not have to be grounded with a grounding electrode. However, if the sleeve or casing is coated with any form of insulating surface treatment, it will have to be grounded at one end via a grounding electrode to provide a ground resistance of 25 ohms or less. If transverse reinforced concrete pipes for utilities and/or cross culverts for drainage are buried with direct contact with earth, they do not have to be grounded with a grounding electrode.
Attachment: RDP Directive Number 0008

RVTM:  12673","DL0011:
Entire segment","DL0011:
Contractor is provided the following clarifications to Design Criteria Manual Section 22.12:
If transverse metallic sleeves or casings are bare (uncoated), buried with direct contact with earth, and has a ground resistance of 25 ohms or less, they do not have to be grounded with a grounding electrode. However, if the sleeve or casing is coated with any form of insulating surface treatment, it will have to be grounded at one end via a grounding electrode to provide a ground resistance of 25 ohms or less. If transverse reinforced concrete pipes for utilities and/or cross culverts for drainage are buried with direct contact with earth, they do not have to be grounded with a grounding electrode.
Attachment: RDP Directive Number 0008

RVTM:  12673","DL0011:
Entire segment",2031
2032,IF 4071,30 CP4 IF-REG,"3.5.1.3.1 Interface between SYS Aerial Structure G&B Requirements and GWY Infrastructure
","Purpose/Scope:
Ensures that the SYS aerial structure grounding & bonding requirements have been addressed by the INF team.","Design Baseline Report
HST Aerial Structure and/or Bridge
RDW Underpass (HST Overpass)
Specification",Verified,"ST-K5181-POS
ST-K5182-POS",ST-K5182-POS affected by DCN 121 Rev 04,, , , , ,2035
2047,IF 489,30 CP4 IF-REG,4.1.1.1.3 Interface between RST HST Trainset Actual Superelevation Requirements (incl. Tilting) and GWY Infrastructure,"Purpose/Scope:
Ensures that the RST HST trainset actual superelevation requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",Verified,"ST-K1002-POS
",,Ea(IN) =3.50, , , , ,2050
2051,IF 490,30 CP4 IF-REG,4.1.1.2.1 Interface between RST HST Trainset Static Gauge Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the RST HST trainset static gauge requirements have been addressed by the INF team, including but not limited to:
- Tangent
- Curved
- Superelevated (incl. tilting)
- Curved & superelevated","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",Verified,ST-K3001-POS,ST-K3001-POS affected by DCN 121 Rev 04,, , , , ,2054
2052,IF 481,30 CP4 IF-REG,4.1.1.2.2 Interface between RST HST Trainset Dynamic Envelope Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the RST HST trainset dynamic envelope requirements have been addressed by the INF team, including but not limited to:
- Tangent
- Curved
- Superelevated (incl. tilting)
- Curved & superelevated","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",Verified,ST-K3001-POS,ST-K3001-POS affected by DCN 121 Rev 04,, , , , ,2055
2082,IF 1143,30 CP4 IF-REG,3.1.2.3.1 Interface between TRK TP Wayside/Field Equipment Spatial Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS TP wayside/field equipment spatial requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench",N/A,N/A,,No TP wayside/field equipment on this structure., , , , ,2087
2083,IF 5671,30 CP4 IF-REG,3.1.2.3.2 Interface between TRK TP Wayside/Field Equipment Foundation Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS TP wayside/field equipment foundation requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench",N/A,,,Moved to N/A Category by HSR Authority as per discussions in Interface Meeting., , , , ,2088
2085,IF 885,30 CP4 IF-REG,"3.1.2.4.1 Interface between TRK TP Conduit, Duct Bank, Cable Trough & Manhole Requirements and GWY Infrastructure","Purpose/Scope:
Ensures that the SYS TP conduit, duct bank, cable trough & manhole requirements have been addressed by the INF team, including but not limited to:
- Overhead or duct bank from TPF to Main Gantry
- Overhead from Main Gantry to Strain Gantry
- Return System to Gantries
- Feeder cables
- Return cables
- Surface conduits (multiple, large diameter)
- Embedded conduits
- ...","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)
Specification",Verified,"ST-K3001-POS
ST-K4201-POS","ST-K3001-POS affected by DCN 121 Rev 04
ST-K4201-POS affected by DCN 121 Rev 04",,"DL0008:
See RDP Directive Number 0004
• Contractor is hereby directed to install all LV underground conduit ductbanks that lead to an adjacent Systems Site (i.e.,Traction Power Facility, Train Control Facility, and Stand-Alone Radio Site). The ductbank shall be terminated (capped or plugged and the connection shall allow the future extension of the ductbank) 1 ft beyond the System Site's footprint and install a telltale (e.g.: small PVC pipe) to mark the end of ductbank for future installation reference. Refer to Figure 1.
• Contractor is hereby directed to install one (1) HV manhole and 12 HV underground conduit ductbank (for rail return) that lead to an adjacent Traction Power Facility (main gantry is located inside the Traction Power Facility's footprint). The ductbank shall be terminated (capped or plugged and the connection shall allow the future extension of the ductbank) 1 ft beyond the Traction Power Facility's footprint and install a telltale (e.g.: small PVC pipe) to mark the end of ductbank for future installation reference. Refer to Figure 2.
• ","DL0008:
Entire segment","DL0008:
See RDP Directive Number 0004
• Contractor is hereby directed to install all LV underground conduit ductbanks that lead to an adjacent Systems Site (i.e.,Traction Power Facility, Train Control Facility, and Stand-Alone Radio Site). The ductbank shall be terminated (capped or plugged and the connection shall allow the future extension of the ductbank) 1 ft beyond the System Site's footprint and install a telltale (e.g.: small PVC pipe) to mark the end of ductbank for future installation reference. Refer to Figure 1.
• Contractor is hereby directed to install one (1) HV manhole and 12 HV underground conduit ductbank (for rail return) that lead to an adjacent Traction Power Facility (main gantry is located inside the Traction Power Facility's footprint). The ductbank shall be terminated (capped or plugged and the connection shall allow the future extension of the ductbank) 1 ft beyond the Traction Power Facility's footprint and install a telltale (e.g.: small PVC pipe) to mark the end of ductbank for future installation reference. Refer to Figure 2.
• ","DL0008:
Entire segment",2090
2091,IF 656,30 CP4 IF-REG,3.2.1.1.1 Interface between TRK OCS Pantograph Clearance Envelope Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS OCS pantograph clearance envelope requirements have been addressed by the INF team (actual wayside equipment is addressed elsewhere).","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Overhead (HST Underpass)
RDW Underpass (HST Overpass)",Verified,ST-K3001-POS,ST-K3001-POS affected by DCN 121 Rev 04,, , , , ,2096
2093,IF 3299,30 CP4 IF-REG,3.2.1.2.1 Interface between TRK OCS Structure & Wire Spatial Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS OCS structure & wire spatial requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",Verified,"ST-K3001-POS
ST-K4201-POS","ST-K3001-POS affected by DCN 121 Rev 04
ST-K4201-POS affected by DCN 121 Rev 04",, , , , ,2098
2094,IF 5752,30 CP4 IF-REG,3.2.1.2.2 Interface between TRK OCS Wayside/Field Equipment Spatial Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS OCS wayside/field equipment spatial requirements have been addressed by the INF team","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",Pending,,,Under discussions with HSR Authority for size and exact location of wayside equipment.,"DVRs 0006, 0007, 0008, 0009, 0011, 0014: OCS poles may have a greater spacing at the bridges; OCS pole foundations located off bridge shall be shown on the drawings.

DVR 0016: OCS Poles at Kimberlina Structure shall be located at the center of the span; OCS Pole foundations located off-bridge shall be shown on the drawings.
","DVR 0006: Garces Structure
DVR 0007: Pond Road Structure
DVR 0008: Peterson Structure
DVR 0009: Poso Creek
DVR 0011: SR 46 Underpass
DVR 0014 Poso Ave Structure
DVR 0016: Kimberlina Structure
","DVRs 0006, 0007, 0008, 0009, 0011, 0014: OCS poles may have a greater spacing at the bridges; OCS pole foundations located off bridge shall be shown on the drawings.

DVR 0016: OCS Poles at Kimberlina Structure shall be located at the center of the span; OCS Pole foundations located off-bridge shall be shown on the drawings.
","DVR 0006: Garces Structure
DVR 0007: Pond Road Structure
DVR 0008: Peterson Structure
DVR 0009: Poso Creek
DVR 0011: SR 46 Underpass
DVR 0014 Poso Ave Structure
DVR 0016: Kimberlina Structure
",2099
2097,IF 898,30 CP4 IF-REG,3.2.1.3.1 Interface between TRK OCS Foundation & Supporting Structure Location Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS OCS foundation & supporting structure location requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",Verified,"ST-K4201-POS,
ST-K1001-POS",ST-K4201-POS affected by DCN 121 Rev 04,,"DVRs 0006, 0007, 0008, 0009, 0011, 0014: OCS poles may have a greater spacing at the bridges; OCS pole foundations located off bridge shall be shown on the drawings.

DVR 0016: OCS Poles at Kimberlina Structure shall be located at the center of the span; OCS Pole foundations located off-bridge shall be shown on the drawings.

","DVR 0006: Garces Structure
DVR 0007: Pond Road Structure
DVR 0008: Peterson Structure
DVR 0009: Poso Creek
DVR 0011: SR 46 Underpass
DVR 0014 Poso Ave Structure
DVR 0016: Kimberlina Structure","DVRs 0006, 0007, 0008, 0009, 0011, 0014: OCS poles may have a greater spacing at the bridges; OCS pole foundations located off bridge shall be shown on the drawings.

DVR 0016: OCS Poles at Kimberlina Structure shall be located at the center of the span; OCS Pole foundations located off-bridge shall be shown on the drawings.

","DVR 0006: Garces Structure
DVR 0007: Pond Road Structure
DVR 0008: Peterson Structure
DVR 0009: Poso Creek
DVR 0011: SR 46 Underpass
DVR 0014 Poso Ave Structure
DVR 0016: Kimberlina Structure",2102
2098,IF 5780,30 CP4 IF-REG,3.2.1.3.2 Interface between TRK OCS Foundation & Supporting Structure Spatial Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the SYS OCS foundation & supporting structure spatial requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",Verified,"ST-K4201-POS
ST-K1001-POS
",ST-K4201-POS affected by DCN 121 Rev 04,,"DVRs 0006, 0007, 0008, 0009, 0011, 0014: OCS poles may have a greater spacing at the bridges; OCS pole foundations located off bridge shall be shown on the drawings.

DVR 0016: OCS Poles at Kimberlina Structure shall be located at the center of the span; OCS Pole foundations located off-bridge shall be shown on the drawings.
","DVR 0006: Garces Structure
DVR 0007: Pond Road Structure
DVR 0008: Peterson Structure
DVR 0009: Poso Creek
DVR 0011: SR 46 Underpass
DVR 0014 Poso Ave Structure

DVR 0016: Kimberlina Structure
","DVRs 0006, 0007, 0008, 0009, 0011, 0014: OCS poles may have a greater spacing at the bridges; OCS pole foundations located off bridge shall be shown on the drawings.

DVR 0016: OCS Poles at Kimberlina Structure shall be located at the center of the span; OCS Pole foundations located off-bridge shall be shown on the drawings.
","DVR 0006: Garces Structure
DVR 0007: Pond Road Structure
DVR 0008: Peterson Structure
DVR 0009: Poso Creek
DVR 0011: SR 46 Underpass
DVR 0014 Poso Ave Structure

DVR 0016: Kimberlina Structure
",2103
2100,IF 886,30 CP4 IF-REG,"3.2.1.4.1 Interface between TRK OCS Conduit, Duct Bank & Manhole Requirements and GWY Infrastructure","Purpose/Scope:
Ensures that the SYS OCS conduit, duct bank & manhole requirements have been addressed by the INF team, including but not limited to:
- Traction power return
- Grounding
- Cross bonding
- Disconnect switches
- Switch heater power supply
- Switch heater power distribution
- ...","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)
Specification",Verified,"ST-K3001-POS
ST-K4201-POS","ST-K3001-POS affected by DCN 121 Rev 04
ST-K4201-POS affected by DCN 121 Rev 04",, , , , ,2105
2113,IF 3764,30 CP4 IF-REG,6.2.1.1.1 Interface between EXT Amtrak Trainset Dynamic Envelope Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the EXT Amtrak trainset dynamic envelope requirements have been addressed by the INF team.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",N/A,,,Moved to N/A Category by HSR Authority as per discussions in Interface Meeting., , , , ,2118
2116,IF 3683,30 CP4 IF-REG,6.2.1.2.2 Interface between EXT Amtrak Trainset Dynamic Train-Structure Interaction Analysis and GWY Infrastructure,"Purpose/Scope:
Ensures that the EXT Amtrak trainset dynamic train-structure interaction has been addressed by the INF team.","Design Baseline Report
HST Aerial Structure and/or Bridge",N/A,,,Moved to N/A Category by HSR Authority as per discussions in Interface Meeting., , , , ,2121
